,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
21,     , Benjamin Bouchouari           , M/AM (C)                         , MAR ,21.0, ASSE                      , £200K - £2M     ,4300.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,4.0,14.0,1.0,12.0,13.0,13.0,13.0,14.0,1.0,10.0,12.0,13.0,11.0,14.0,14.0,8.0,12.0,13.0,2.0,7.0,8.0,3.0,7.0,11.0,6.0,12.0,14.0,12.0,7.0,2.0,13.0,8.0,7.0,13.0,13.0,3.0,3.0,13.0,12.0,11.0," 5'5""   ", Low         ,2025-06-30, ,200000.0,2000000.0,1100000.0,5,5,165.1,22.0
23,     , Ben Whitfield                 ," M (RL), AM (RLC), ST (C)         ", ENG ,27.0, Barrow                    , £120K - £350K   ,1300.0, -       , -           , -                            , Resolute            , Reserved                    , Fairly Strong , Very Strong   ,1.0,13.0,1.0,9.0,12.0,10.0,11.0,7.0,2.0,8.0,10.0,11.0,10.0,15.0,13.0,10.0,12.0,13.0,2.0,8.0,4.0,2.0,7.0,10.0,7.0,11.0,12.0,11.0,7.0,2.0,10.0,8.0,7.0,11.0,12.0,2.0,3.0,10.0,13.0,8.0," 5'5""   ", Very High   ,2024-06-30, ,120000.0,350000.0,235000.0,5,5,165.1,10.0
25,     , Morice Abraham                , M/AM (C)                         , TAN ,20.0, Novi Sad                  , £100K - £300K   ,100.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,12.0,3.0,5.0,9.0,10.0,7.0,2.0,3.0,10.0,10.0,5.0,12.0,13.0,9.0,10.0,12.0,13.0,2.0,7.0,8.0,1.0,7.0,9.0,6.0,5.0,12.0,12.0,9.0,1.0,12.0,9.0,6.0,8.0,14.0,2.0,1.0,10.0,13.0,5.0," 5'5""   ", Low         ,2025-06-30, ,100000.0,300000.0,200000.0,5,5,165.1,22.0
27, Inj , Yerko Leiva                   , M/AM (C)                         , CHI ,25.0, Curicó Unido              , £120K - £1.2M   ,1300.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,11.0,2.0,9.0,11.0,10.0,13.0,8.0,1.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,14.0,13.0,3.0,6.0,6.0,2.0,9.0,9.0,9.0,13.0,12.0,14.0,7.0,3.0,13.0,8.0,8.0,14.0,14.0,3.0,2.0,15.0,12.0,13.0," 5'5""   ", Increased   ,2025-12-31, ,120000.0,1200000.0,660000.0,5,5,165.1,28.0
29, Inj , Ablie Jallow                  , AM (RLC)                         , GAM ,24.0, FC Metz                   , £210K - £2.1M   ,4400.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,1.0,13.0,1.0,9.0,14.0,13.0,14.0,12.0,1.0,13.0,14.0,11.0,13.0,13.0,13.0,12.0,12.0,11.0,2.0,9.0,4.0,2.0,9.0,14.0,7.0,12.0,13.0,11.0,8.0,3.0,12.0,10.0,8.0,12.0,13.0,1.0,1.0,13.0,13.0,9.0," 5'5""   ", High        ,2025-06-30, ,210000.0,2100000.0,1155000.0,5,5,165.1,22.0
31,     , Juanma                        ," AM (RL), ST (C)                  ", ESP ,30.0, Albacete                  , £170K - £1.7M   ,3300.0, -       , £2.9M       , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,2.0,13.0,3.0,13.0,13.0,14.0,14.0,14.0,1.0,12.0,13.0,7.0,13.0,12.0,13.0,14.0,13.0,11.0,1.0,9.0,8.0,3.0,8.0,8.0,7.0,13.0,13.0,11.0,14.0,1.0,11.0,11.0,8.0,12.0,13.0,2.0,1.0,11.0,15.0,9.0," 5'5""   ", Increased   ,2025-06-30, ,170000.0,1700000.0,935000.0,5,5,165.1,22.0
33,     , Davide Merola                 ," AM (RLC), ST (C)                 ", ITA ,23.0, Pescara                   , £120K - £1.2M   ,3800.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,2.0,14.0,3.0,8.0,14.0,12.0,12.0,7.0,4.0,10.0,10.0,8.0,11.0,11.0,10.0,13.0,12.0,11.0,3.0,10.0,10.0,1.0,8.0,10.0,4.0,12.0,14.0,12.0,9.0,2.0,13.0,9.0,7.0,9.0,13.0,3.0,1.0,11.0,10.0,8.0," 5'5""   ", Low         ,2027-06-30, ,120000.0,1200000.0,660000.0,5,5,165.1,46.0
35,     , Sergey Pinyaev                ," M (L), AM (RL)                   ", RUS ,18.0, Lokomotiv Moscow          , £1.1M - £8.8M   ,14000.0, -       , £4.9M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,15.0,3.0,13.0,16.0,13.0,13.0,9.0,3.0,11.0,12.0,12.0,13.0,11.0,14.0,11.0,15.0,15.0,2.0,7.0,5.0,2.0,11.0,12.0,6.0,14.0,13.0,10.0,8.0,2.0,9.0,5.0,8.0,8.0,14.0,3.0,1.0,13.0,11.0,13.0," 5'6""   ", Low         ,2026-12-31, ,1100000.0,8800000.0,4950000.0,5,6,167.64000000000001,40.0
37,     , Darragh Power                 ," D (RL), WB (R)                   ", IRL ,22.0, Waterford                 , £120K - £350K   ,425.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,12.0,1.0,12.0,12.0,10.0,12.0,9.0,2.0,9.0,10.0,10.0,8.0,14.0,9.0,4.0,10.0,11.0,1.0,9.0,9.0,2.0,8.0,7.0,9.0,10.0,12.0,10.0,9.0,3.0,12.0,9.0,10.0,12.0,11.0,1.0,2.0,10.0,12.0,6.0," 5'6""   ", Low         ,2024-11-30, ,120000.0,350000.0,235000.0,5,6,167.64000000000001,15.0
39,     , Felipe Yáñez                  , D (L)                            , CHI ,18.0, Colo Colo                 , £425K - £1.2M   ,600.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Reasonable    ,3.0,14.0,3.0,13.0,15.0,7.0,11.0,11.0,3.0,10.0,8.0,16.0,9.0,12.0,10.0,2.0,11.0,5.0,4.0,12.0,5.0,3.0,6.0,9.0,13.0,8.0,13.0,10.0,12.0,3.0,9.0,4.0,16.0,12.0,12.0,2.0,4.0,11.0,11.0,8.0," 5'6""   ", Low         ,2025-12-31, ,425000.0,1200000.0,812500.0,5,6,167.64000000000001,28.0
41,     , Bayron Oyarzo                 , AM (RLC)                         , CHI ,28.0, Ñublense                  , £550K - £1.2M   ,1000.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,3.0,6.0,13.0,12.0,13.0,7.0,4.0,9.0,11.0,13.0,12.0,11.0,13.0,10.0,13.0,15.0,1.0,6.0,5.0,4.0,9.0,10.0,3.0,13.0,12.0,13.0,6.0,1.0,11.0,8.0,4.0,13.0,14.0,2.0,1.0,14.0,9.0,11.0," 5'6""   ", Low         ,2024-12-31, ,550000.0,1200000.0,875000.0,5,6,167.64000000000001,16.0
43,     , Manu Vallejo                  ," M (L), AM (RLC), ST (C)          ", ESP ,26.0, Zaragoza                  , £900K - £4.7M   ,10750.0, -       , £16.75M     , -                            , Fairly Determined   , Level-headed                , Fairly Strong , Very Strong   ,3.0,15.0,1.0,10.0,14.0,13.0,13.0,13.0,1.0,11.0,10.0,11.0,11.0,15.0,12.0,14.0,12.0,13.0,3.0,9.0,6.0,3.0,10.0,12.0,7.0,14.0,13.0,12.0,11.0,4.0,12.0,11.0,7.0,11.0,13.0,1.0,3.0,12.0,13.0,12.0," 5'6""   ", Low         ,2025-06-30, ,900000.0,4700000.0,2800000.0,5,6,167.64000000000001,22.0
45,     , Franco Cervi                  , M/AM (L)                         , ARG ,29.0, Vigo                      , £375K - £5.8M   ,41000.0, £375K   , £9.25M      , -                            , Driven              , Level-headed                , Very Strong   , Weak          ,1.0,15.0,3.0,16.0,15.0,11.0,16.0,11.0,1.0,11.0,10.0,12.0,11.0,18.0,13.0,8.0,12.0,13.0,1.0,4.0,7.0,2.0,9.0,10.0,10.0,15.0,15.0,11.0,13.0,3.0,14.0,8.0,13.0,13.0,13.0,2.0,3.0,11.0,14.0,12.0," 5'6""   ", Low         ,2026-06-30, ,375000.0,5800000.0,3087500.0,5,6,167.64000000000001,34.0
47,     , Matías Lacava                 , AM (RLC)                         , VEN ,20.0, VIZ                       , £130K - £1.3M   ,900.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,14.0,1.0,13.0,15.0,13.0,11.0,7.0,4.0,9.0,11.0,11.0,9.0,14.0,14.0,10.0,13.0,16.0,2.0,4.0,4.0,3.0,5.0,11.0,3.0,13.0,13.0,13.0,6.0,1.0,13.0,7.0,11.0,12.0,14.0,3.0,4.0,13.0,14.0,8.0," 5'6""   ", Increased   ,2024-12-31, ,130000.0,1300000.0,715000.0,5,6,167.64000000000001,16.0
51,     , Lucas Assadi                  , AM (LC)                          , CHI ,19.0, Univ. de Chile            , £850K - £1.8M   ,2000.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,14.0,3.0,8.0,15.0,14.0,7.0,8.0,3.0,8.0,12.0,11.0,13.0,14.0,15.0,9.0,14.0,16.0,3.0,5.0,7.0,2.0,6.0,10.0,5.0,13.0,12.0,13.0,5.0,1.0,11.0,8.0,4.0,10.0,14.0,3.0,2.0,14.0,11.0,5.0," 5'6""   ", Low         ,2025-12-31, ,850000.0,1800000.0,1325000.0,5,6,167.64000000000001,28.0
53,     , Largie Ramazani               ," AM (RL), ST (C)                  ", BEL ,22.0, Almería                   , £24M - £36M     ,9250.0, -       , £34.5M      , -                            , Fairly Ambitious    , Media-friendly              , Strong        , Very Strong   ,1.0,18.0,3.0,9.0,14.0,8.0,8.0,8.0,1.0,9.0,11.0,11.0,10.0,14.0,15.0,14.0,13.0,14.0,1.0,4.0,3.0,1.0,3.0,6.0,4.0,13.0,17.0,12.0,4.0,3.0,12.0,6.0,4.0,10.0,14.0,2.0,1.0,9.0,12.0,4.0," 5'6""   ", Increased   ,2025-06-30, ,24000000.0,36000000.0,30000000.0,5,6,167.64000000000001,22.0
55, Wnt , Marcello Falzerano            , M/AM (RLC)                       , ITA ,32.0, Ascoli                    , £110K - £325K   ,2100.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,2.0,13.0,13.0,11.0,8.0,11.0,1.0,12.0,11.0,9.0,10.0,13.0,12.0,12.0,11.0,14.0,3.0,6.0,7.0,1.0,12.0,8.0,6.0,13.0,13.0,13.0,11.0,1.0,12.0,9.0,9.0,14.0,13.0,2.0,1.0,12.0,12.0,10.0," 5'6""   ", Increased   ,2024-06-30, ,110000.0,325000.0,217500.0,5,6,167.64000000000001,10.0
57, Wnt , Vital N'Simba                 , D/WB (L)                         , COD ,30.0, Bordeaux                  , £130K - £1.3M   ,6750.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Very Strong   , Weak          ,1.0,14.0,1.0,10.0,14.0,12.0,12.0,14.0,1.0,11.0,10.0,14.0,11.0,15.0,12.0,6.0,12.0,9.0,3.0,6.0,5.0,2.0,11.0,11.0,12.0,11.0,14.0,13.0,12.0,1.0,15.0,12.0,12.0,12.0,12.0,3.0,1.0,10.0,14.0,7.0," 5'6""   ", Low         ,2024-06-30, ,130000.0,1300000.0,715000.0,5,6,167.64000000000001,10.0
61,     , Ryoya Morishita               ," D (RL), WB/M (R), AM (L)         ", JPN ,26.0, Legia                     , £140K - £1.4M   ,3200.0, -       , -           , -                            , Fairly Professional , Reserved                    , Weak          , Very Strong   ,1.0,13.0,1.0,13.0,14.0,12.0,11.0,12.0,3.0,12.0,13.0,14.0,11.0,14.0,12.0,8.0,7.0,5.0,1.0,6.0,9.0,4.0,2.0,11.0,10.0,10.0,13.0,10.0,11.0,2.0,14.0,9.0,11.0,12.0,11.0,1.0,3.0,9.0,14.0,8.0," 5'6""   ", Low         ,2025-01-31, ,140000.0,1400000.0,770000.0,5,6,167.64000000000001,17.0
63,     , Naci Ünüvar                   ," AM (LC), ST (C)                  ", NED ,20.0, FC Twente                 , £7.8M - £9.6M   ,4300.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Fairly Strong , Very Strong   ,2.0,12.0,3.0,12.0,14.0,13.0,12.0,10.0,2.0,9.0,11.0,8.0,12.0,15.0,15.0,11.0,15.0,16.0,1.0,4.0,6.0,3.0,6.0,11.0,7.0,12.0,13.0,13.0,7.0,3.0,10.0,8.0,6.0,10.0,17.0,3.0,2.0,13.0,13.0,10.0," 5'6""   ", Low         ,2026-06-30, ,7800000.0,9600000.0,8700000.0,5,6,167.64000000000001,34.0
65,     , Iván Gil                      , M/AM (LC)                        , ESP ,22.0, F.C. Andorra              , £120K - £1.2M   ,1800.0, -       , £1.3M       , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,2.0,11.0,1.0,10.0,14.0,10.0,10.0,7.0,1.0,10.0,12.0,11.0,14.0,10.0,14.0,11.0,14.0,13.0,2.0,5.0,1.0,1.0,10.0,8.0,9.0,12.0,11.0,12.0,10.0,1.0,9.0,1.0,8.0,12.0,14.0,1.0,2.0,14.0,11.0,10.0," 5'6""   ", Low         ,2024-06-30, ,120000.0,1200000.0,660000.0,5,6,167.64000000000001,10.0
67, Sct , Oliver Rathbone               ," DM, M (C)                        ", ENG ,26.0, Rotherham                 , £700K - £1.5M   ,4000.0, £725K   , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,12.0,2.0,14.0,13.0,11.0,12.0,12.0,1.0,11.0,12.0,9.0,12.0,12.0,10.0,9.0,12.0,11.0,2.0,7.0,8.0,1.0,10.0,13.0,9.0,12.0,12.0,12.0,10.0,3.0,15.0,9.0,14.0,14.0,13.0,1.0,1.0,12.0,18.0,8.0," 5'6""   ", High        ,2024-06-30, ,700000.0,1500000.0,1100000.0,5,6,167.64000000000001,10.0
69,     , Gerónimo Rivera               , AM (RL)                          , ARG ,19.0, Banfield                  , £4M - £7.4M     ,2300.0, -       , £16M        , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,3.0,17.0,2.0,6.0,13.0,10.0,11.0,10.0,1.0,10.0,11.0,11.0,11.0,6.0,15.0,10.0,11.0,15.0,1.0,10.0,7.0,3.0,6.0,9.0,7.0,11.0,14.0,10.0,8.0,4.0,14.0,10.0,7.0,9.0,13.0,1.0,3.0,10.0,10.0,7.0," 5'6""   ", Low         ,2027-12-31, ,4000000.0,7400000.0,5700000.0,5,6,167.64000000000001,52.0
71, Wnt , Fran Villalba                 , AM (RLC)                         , ESP ,25.0, S. Gijón                  , £900K - £1.9M   ,6500.0, -       , £3.5M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,13.0,2.0,11.0,16.0,10.0,17.0,9.0,3.0,10.0,9.0,11.0,11.0,12.0,13.0,11.0,14.0,17.0,1.0,7.0,5.0,1.0,8.0,8.0,7.0,12.0,13.0,14.0,13.0,3.0,10.0,9.0,7.0,9.0,15.0,2.0,2.0,16.0,10.0,11.0," 5'6""   ", Increased   ,2026-06-30, ,900000.0,1900000.0,1400000.0,5,6,167.64000000000001,34.0
73, Inj , Tom Lowery                    ," DM, M (C)                        ", WAL ,25.0, Portsmouth                , £450K - £1.3M   ,3200.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Strong        ,3.0,14.0,3.0,10.0,13.0,9.0,15.0,15.0,1.0,9.0,13.0,11.0,10.0,15.0,11.0,10.0,12.0,14.0,1.0,7.0,5.0,3.0,7.0,10.0,5.0,12.0,12.0,14.0,9.0,3.0,11.0,8.0,8.0,12.0,14.0,1.0,1.0,14.0,17.0,12.0," 5'6""   ", High        ,2025-06-30, ,450000.0,1300000.0,875000.0,5,6,167.64000000000001,22.0
75,     , David Pereira Da Costa        , AM (LC)                          , POR ,22.0, RC Lens                   , £6M - £9M       ,13250.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,14.0,3.0,10.0,14.0,12.0,10.0,12.0,1.0,12.0,12.0,13.0,13.0,14.0,14.0,12.0,14.0,13.0,2.0,7.0,5.0,1.0,7.0,13.0,8.0,13.0,13.0,15.0,8.0,1.0,11.0,8.0,8.0,15.0,17.0,2.0,3.0,14.0,14.0,13.0," 5'6""   ", Low         ,2026-06-30, ,6000000.0,9000000.0,7500000.0,5,6,167.64000000000001,34.0
77,     , Farid El Melali               , M/AM (R)                         , ALG ,26.0, Angers SCO                , £1M - £2.2M     ,5000.0, -       , -           , -                            , Resolute            , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,3.0,10.0,13.0,11.0,11.0,13.0,2.0,11.0,12.0,12.0,10.0,16.0,14.0,10.0,13.0,11.0,1.0,6.0,4.0,2.0,8.0,8.0,10.0,13.0,14.0,12.0,10.0,3.0,12.0,8.0,9.0,12.0,14.0,3.0,1.0,11.0,13.0,10.0," 5'6""   ", High        ,2025-06-30, ,1000000.0,2200000.0,1600000.0,5,6,167.64000000000001,22.0
79,     , Brandon Aguilera              ," M (C), AM (RLC)                  ", CRC ,20.0, Bristol Rovers            , £9.4M - £14M    ,2000.0, -       , -           , -                            , Fairly Professional , Level-headed                , Very Strong   , Reasonable    ,3.0,12.0,3.0,10.0,12.0,10.0,13.0,10.0,1.0,11.0,12.0,11.0,9.0,13.0,14.0,10.0,13.0,14.0,2.0,5.0,8.0,1.0,8.0,10.0,5.0,12.0,13.0,14.0,10.0,1.0,9.0,6.0,5.0,10.0,14.0,2.0,3.0,12.0,10.0,12.0," 5'6""   ", Increased   ,2026-05-31, ,9400000.0,14000000.0,11700000.0,5,6,167.64000000000001,33.0
81,     , Kings Kangwa                  ," DM, M/AM (C)                     ", ZAM ,24.0, KV Kortrijk               , £250K - £2.5M   ,7250.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Weak          , Very Strong   ,3.0,15.0,1.0,12.0,14.0,12.0,13.0,11.0,3.0,12.0,13.0,12.0,13.0,16.0,14.0,9.0,13.0,12.0,3.0,7.0,6.0,3.0,7.0,13.0,10.0,10.0,14.0,14.0,10.0,3.0,14.0,8.0,12.0,12.0,13.0,3.0,1.0,13.0,13.0,12.0," 5'6""   ", Increased   ,2026-06-30, ,250000.0,2500000.0,1375000.0,5,6,167.64000000000001,34.0
83, Inj , Jordan Clark                  , M/AM (RC)                        , ENG ,29.0, Luton                     , £300K - £2.9M   ,22000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Reasonable    , Very Strong   ,1.0,13.0,1.0,7.0,13.0,14.0,9.0,10.0,1.0,14.0,12.0,13.0,14.0,13.0,13.0,12.0,13.0,13.0,2.0,9.0,8.0,1.0,12.0,11.0,10.0,12.0,12.0,12.0,12.0,1.0,15.0,7.0,8.0,15.0,13.0,2.0,2.0,11.0,14.0,12.0," 5'6""   ", High        ,2026-06-30, ,300000.0,2900000.0,1600000.0,5,6,167.64000000000001,34.0
85,     , Manu Pozo                     , M/AM (RL)                        , ESP ,21.0, Valladolid B              , £500K - £1.1M   ,1100.0, -       , £1.2M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,14.0,3.0,7.0,14.0,10.0,14.0,5.0,3.0,9.0,10.0,8.0,10.0,5.0,12.0,12.0,14.0,13.0,3.0,3.0,3.0,3.0,10.0,10.0,8.0,13.0,13.0,14.0,7.0,2.0,12.0,2.0,8.0,9.0,14.0,2.0,2.0,8.0,12.0,8.0," 5'6""   ", Low         ,2025-06-30, ,500000.0,1100000.0,800000.0,5,6,167.64000000000001,22.0
87,     , Leonardo Lopes                ," DM, M (C)                        ", POR ,24.0, Cercle Brugge             , £110K - £1.1M   ,6000.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,14.0,2.0,10.0,13.0,14.0,13.0,10.0,2.0,14.0,14.0,12.0,10.0,6.0,13.0,11.0,11.0,11.0,1.0,7.0,9.0,1.0,8.0,11.0,13.0,13.0,14.0,14.0,14.0,2.0,14.0,8.0,12.0,11.0,12.0,1.0,3.0,12.0,11.0,5.0," 5'6""   ", Increased   ,2024-06-30, ,110000.0,1100000.0,605000.0,5,6,167.64000000000001,10.0
